ExperimentName;Vistalon 8800 (EPDM);Vistalon 8600 (EPDM);Keltan 6950 (EPDM);keltan 6951;Keltan 6950 ECO;keltan 6951C;KEP2480 (EPDM);ravago EPDM recycl� ;PPH 3060 (PP);PP Remolen 50CCUF 702;PP Remolen 50CC00 703;Remolen 50CHUF00 7XX;ENGAGE 8180 (POE);PPH 11012 (PP);Dutral BTX 9049;Stabaxol P100;INEOS rrPP1002;Marlex HAX 030LC (PP);Marlex HGX 030LC (PP);Exxelor PO1020 (PPgAM);Infuse 9077 (OBC);Adflex X100G (polyolefine);Engage 8842 (POE);PP 2355 (anti uv);PPH 2002 (anti-UV);PP 8790 (anti uv);PP 55176 (anti ox);rPPH 02GR;rPPH 03GR;WPP PRC 50 UFO;WPP PRC 50 UFO nat;rPPC 01GR;rPPC 02GR;Kingfa CB-T2L2A NC001;PEHD HMA018 (PE);Primol 352 (Plastifiant);Nypar 330 (Plastifiant);NYPAR 330 2;Lucant LX400 (plastifiant);Pionier 2196 (plastifiant);Tiona ATA 1 (TiO2);Noir Spheron SOA 550 (Noir de carbone);Noir 990 (Noir de carbone);Noir N115;Noir N330;Noir N772;noir FEF 550;PP8027 (Noir Polyone);Incroslip SL (AID Process);Crodamide ER (AID Process);Polyplastol 19 (AID Process);AIDPPF4 (AID Process);Chiguard 770 (anti-UV);Cyasorb uv 703 (anti-UV);Cyasorb uv 703 (fin) (anti-UV);Cyasorb CYXTRA V9900 (anti-uv);Tinuvin 770 DF (anti-UV);Tinuvin 326 (anti-UV);Tinuvin 326 (fin) (anti-UV);Lubio 10 (anti-UV);Lubio 10 (fin) (anti-UV);Lubio 11 (anti-UV);Lubio 11 (fin) (anti-UV);Zeoflair 110 (additif);torilis 7200;Bruggolen TP-R2090;naugard 445;Vulkanox HS-LG (TMQ);Huile Aurora SK W Ergon ;PEG 4000 (AID Process);ZnO;MgO - Maglite DE;R�sine SP1055 (R�sine);R�sine SP1045H (non brom�e);Anti oxydant MBI : RHENOGRAN MBI 80 (anti-ox);Anti oxydant MBI (fin) (anti-ox);Cyanox 2777 (anti ox);Irganox B225 (ANTIOX);Irganox B900 (ANTIOX);Hostanox PEPQ (ANTIOX);Hostanox SE10 PILLS;Hostanox 0310 PILLS;Irgacycle 030G;MB 50001;Univul 4050 (HALS);Chimassorb 2020 (HALS);Hycite 713 (corr acidit�);Safic Chem Mask AX PD (BV) (neutralisateur odeur);acide st�arique;nures 2055;PP AUROcom 50 IUF3 H Tst black;PP ROMOLEN (Mol group);Huile Viva B-Fix 10249;N�opr�ne WRT;REPSOL Reciclex RXP52BG;Luperox F40MF (Peroxyde);Luperox 101XL45 (Peroxyde);Luperox 101XL45 SP2 (peroxyde);Luperox F air B2 (peroxyde);RICON 153DA (co-agent);RICON 154DA (co-agent);TMPTMA = SR 350 (co-agent);Vulcofac SR 517 DL (Co-agent);Alcanpoudre EGDMA (Co-agent);Alcanpoudre TMPTMA 70 (Co-agent);Alcanpoudre - EGDMA 70;TOTAL;Chiguard 770 (BV) (anti-UV);Tinuvin 326 (BV) (anti-UV);PEG 4000 (BV) (AID Process);Crodamide ER (BV) (AID Process);Nypar 330 (BV) (Plastifiant);AIDPPF4 (BV) (AID Process);MB 50001 (BV);rPPH 02GR (BV);rPPH 03GR (BV);WPP PRC 50 UFO nat (BV);rPPC 01GR (BV);rPPC 02GR (BV);Kingfa CB-T2L2A NC001 (BV);PPH 3060 (BV) (PP);PP AUROcom 50 IUF3 H Tst black (BV);WPP PRC 50 UFO (BV);PP ROMOLEN (Mol group) (BV);PP Remolen 50CCUF 702 (BV);PP Remolen 50CC00 703 (BV);INEOS rrPP1002 (BV);REPSOL Reciclex RXP52BG (BV);Remolen 50CHUF00 7XX (BV);mach_mix;Coef-remplissage;mach_Bivis;Profil_vis;vitesse rotation b-v;puits de d�gazage;Cyl.zone 1;Cyl.zone 2;Cyl.zone 3;Cyl.zone 4;Cyl.zone 5;Cyl.zone 6;Cyl.zone 7;Cyl.zone 8;Cyl.zone 9;Cyl.zone 10;Cyl.zone 11;Cyl.zone 12;GALA - T� 8.0;GALA - bypass;GALA - Fili�re;T� T�te;T� Porte Filtre;T� Bi-Pass;T� Eau;D�bit doseur 1 double vis;type vis doseur 1;d�bit doseur 1 K-tron;D�bit doseur 2 monovis;type vis doseur 2;Couple Vis doseur;Position;Type pompe;d�bit th�orique;d�bit affich�;Vitesse extrudeuse;Couple extrudeuse;T� mati�re BV;Energie sp�cifique;P gala amont;P gala aval;Pression dans 8/0;Pression bypass;capacit� granulatrice;Intensit� de la granulatrice Gala;Couple granulatrice Gala;vitesse granulatrice;V Couteaux;nb trous fili�res;nb lames du porte-couteaux;t� bac d'eau Gala;Type mat�re � doser;D�bit doseur;capacit� doseur;type vis doseur;% vitesse de Vis doseur;D�bit Huile;Vitesse de vis;Courant;Pression t�te extrudeuse;T� mati�re;mach_extru;Etuvage;Hum_extru;Vvis_extru;T_extru;P-extru;V_tapis;E_extru;T_melt_extru;Hard_Shore_A;Hard_Shore_D;Density;Tensile_strength_break;Elong_break;S_elong_5;S_elong_10;S_elong_20;S_elong_50;S_elong_100;Comp_22_23;Comp_22_85;Comp_22_70;Comp_22_100;Comp_168_70
QM-305-A;120;0;0;0;0;0;0;0;40;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;6;15;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;3,8;0;0;296,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,75;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1200;999999;999999;99999;999999;10;99999;999999;99999;99999;180;15;50;99999;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;56;14,5;99999;999999;60;99999;0,92;6,1;334;1;1,2;1,5;99999;2,6;22;99999;99999;38;30
QM-305-B;120;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;6;15;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;3,8;0;0;266,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,75;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1200;999999;999999;99999;999999;10;99999;999999;99999;99999;180;12;35;99999;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;42;17,5;99999;999999;63;99999;0,93;7,2;345;1,1;1,4;1,8;99999;3;19;99999;99999;35;99999
QM-305-C;120;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;6;15;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2,9;0;0;263,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,75;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1200;999999;999999;99999;999999;10;99999;999999;99999;99999;180;12;32;99999;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;42;17,5;99999;999999;63;99999;0,93;6,9;373;1;1,4;1,7;99999;2,8;19;99999;99999;37;99999
QM-305-D;120;0;0;0;0;0;0;0;40;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;6;0;15;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;3,8;0;0;296,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,75;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1200;999999;999999;99999;999999;10;99999;999999;99999;99999;180;13;43;99999;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;54;17,5;99999;999999;59;99999;0,92;5,9;334;1;1,3;1,6;99999;2,7;18;99999;99999;34;99999
QM-305-E;0;0;100;0;0;0;0;0;40;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;6;15;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;3,8;0;0;296,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,75;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1200;999999;999999;99999;999999;10;99999;999999;99999;99999;180;13;46;99999;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;58;17,5;99999;999999;60;99999;0,91;6,9;361;1;1,2;1,5;99999;2,6;19;99999;99999;35;99999
QM-305-F;120;0;0;0;0;0;0;0;0;0;0;0;30;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;6;15;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;3,8;0;0;296,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,75;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1200;999999;999999;99999;999999;10;99999;999999;99999;99999;180;13;41;99999;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;54;18;99999;999999;60;99999;0,92;6,1;311;1;1,3;1,6;99999;2,8;19;99999;99999;37;99999
QM-305-H;120;0;0;0;0;0;0;0;40;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;6;15;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;3,8;0;0;301,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,75;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1200;999999;999999;99999;999999;10;99999;999999;99999;99999;180;14;48;99999;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;51;18;99999;999999;60;99999;0,93;7;369;1,1;1,3;1,6;99999;2,7;18;99999;99999;42;99999
QM-305-I;120;0;0;0;0;0;0;0;40;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;6;15;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;3;5;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,75;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1200;999999;999999;99999;999999;8;99999;999999;99999;99999;180;10;75;99999;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;70;13;99999;999999;54;99999;0,92;6,2;392;0,9;1,1;1,4;99999;2,3;19;99999;99999;46;99999
QM-305-J;0;0;0;0;0;0;0;0;10;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,75;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1000;999999;999999;99999;999999;8;99999;999999;99999;99999;180;19;63;99999;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;83;14,5;99999;999999;67;99999;0,87;7,5;685;1,1;1,4;1,9;99999;2,8;40;99999;99999;72;99999
QM-306-A;120;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;6;15;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;3,8;0;0;266,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Krupp F2000;0,8;Collin;injection huile;99999;999999;999999;160;170;175;180;185;190;200;200;200;999999;999999;999999;999999;999999;200;200;200;99999;999999;999999;99999;999999;999999;99999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;99999;99999;99999;99999;99999;99999;1200;999999;999999;99999;999999;12;99999;999999;99999;99999;180;14;51;209;Teach Line;1 nuit � 60�C;99999;160;200-200-190-185-180;44;15;99999;999999;62;99999;0,95;6,3;334;0,4;0,7;1,1;99999;2,3;18;99999;99999;34;99999
